"Country Name","GNI per capita(usd)","Unemployment, total (% of total labor force)","Current health expenditure (% of GDP)","Urban population (% of total population)","School enrollment, secondary (% gross)","Life expectancy at birth, total (years)"
"Pre-demographic dividend","1393.6767687328","5.8836090057644","4.5527581472301","43.031379651582","43.601978302002","59.87258063232"
"Portugal","23960","6.577","11.14","66.849","118.32466125488","81.378048780488"
"Paraguay","5730","7.311","8.03277016","62.496","84.288009643555","70.262"
"West Bank and Gaza","4270","26.39","7.3","77.003","90.19051361084","73.473"
"Pacific island small states","3801.0455167831","3.6047441565557","6.5633726617854","39.312288467754","73.192710876465","69.163594182843"
"Post-demographic dividend","49746.367439859","5.7957906621728","13.822503499789","81.850579080365","105.29850769043","79.737944905113"
"Qatar","62400","0.14","2.89366841","99.278","97.32642364502","79.272"
"Romania","14190","5.59","6.48","54.329","86.197090148926","72.809756097561"
"Russian Federation","11720","4.715","7.39","74.934","93.34156036377","69.900243902439"
"Rwanda","840","15.793","7.32305002","17.568","44.182079315185","66.072"
"South Asia","2097.7413015728","6.4458971933318","3.265601845896","35.351924992679","73.05265045166","67.579129046382"
"Saudi Arabia","24140","6.621","5.96836901","84.508","103.58701324463","76.936"
"Senegal","1560","3.368","4.35098124","48.6","46.813068389893","67.093"
"Singapore","64970","4.64","5.56525183","100","103.04187774658","83.092682926829"
"Sierra Leone","510","3.516","8.55334282","43.372","70.728126525879","60.062"
"El Salvador","4340","4.327","9.71643353","74.118","66.03547668457","70.748"
"Somalia","580","19.553","7.3","46.731","5.4602244907541","55.28"
"Serbia","8470","10.061","10.0125246","56.651","92.874183654785","72.780487804878"
"Sub-Saharan Africa (excluding high income)","1580.4937187471","6.6968192987539","5.1035037085508","41.8286962799","44.997928619385","60.240637832665"
"Sub-Saharan Africa","1581.6174357467","6.6968192987539","5.1036247516","41.830052868299","45.000591278076","60.241743463186"
"Small states","12287.56984937","8.6822392151496","7.1676725708992","54.364993596356","73.28897857666","71.644498437968"
"Sao Tome and Principe","2210","15.042","7.82528496","75.073","87.415405438661","67.591"
"Suriname","4490","8.459","5.6838975","66.219","65.609848022461","70.274"
"Slovak Republic","20650","6.894","7.75","53.82","91.089912414551","74.614634146341"
"Slovenia","28370","4.747","9.48","55.427","108.17887878418","80.675609756098"
"Sweden","60860","8.722","11.25","88.238","138.68818664551","83.056097560976"
"Seychelles","14950","7.87","5.25937986","57.972","102.95227813721","73.39756097561"
"Syrian Arab Republic","560","14.796","7.3","56.124","38.228900909424","72.063"
"Chad","660","1.511","5.19022274","23.781","24.091859817505","52.525"
"East Asia & Pacific (IDA & IBRD countries)","9444.0084056443","4.1424957877684","5.2599574750967","58.321417787039","89.218879699707","75.57119341209"
"Europe & Central Asia (IDA & IBRD countries)","9472.8488285461","6.7278540306834","6.6155430173802","66.85341972852","97.586479187012","72.012751707603"
"Togo","940","2.285","5.55532026","43.358","64.290901184082","61.619"
"Thailand","7100","1.215","5.16038752","52.163","102.94103046827","78.715"
"Tajikistan","1160","7.253","8.01","27.726","88.205564388036","71.594"
